,GroupID,B0,Tm,T0,AIC,Converge
0,1,1.7962522020972285e-05,305.4557176883369,288.49642533286016,-52.29882704643567,Y
0,2,0.0001650344664855733,310.2330087577989,272.2458848446305,-4.51267728447003,Y
0,3,1.0981938267353318e-05,308.84667405012567,281.68478388109276,-79.58268735826321,Y
0,4,1.0625241369776233e-05,308.7476881541295,281.66330557328314,-73.66174439529848,Y
0,5,1.1261818277639862e-05,310.3189008246834,281.5372782420898,-73.69776459795314,Y
0,6,2.5710927615037916e-05,308.1492111767768,281.8620559536989,-33.747268069940176,Y
0,7,7.045857193313256e-08,298112.6883676216,281.84083824539755,-36.809799021452115,Y
0,8,0.0009482722394059677,309.0327880018679,283.9752811761422,17.633676126478033,Y
0,9,0.0002159882357882299,311.2181317073214,279.51995349146836,-5.205770401637405,Y
0,10,2.525316042942258e-08,315.74267500115945,277.85036918413783,-118.19485621159575,Y
0,11,2.8812712192011436e-08,309.59999519982983,280.7633668741026,-110.41146799610499,Y
0,12,1.6161347210641523e-08,314.84925430641715,275.0445130538254,-115.03607337285013,Y
0,13,3.177602573518516e-11,14968.165697294377,212.45327241951873,-136.5307514304621,Y
0,14,2.7539254248113375e-09,314.18338725097544,269.80625477001746,-151.96231352707642,Y
0,15,7.647902639309443e-09,309.1134547762394,278.41985857203474,-130.64897443051424,Y
0,16,2.3824341664730406e-09,306.65753619141634,271.8650849163681,-167.48066176484252,Y
0,17,1.6885275368396812e-09,326.69854201628226,267.85731747766886,-164.291168899715,Y
0,18,4.6718575617499894e-09,316.6889347085747,267.99307474990815,-148.32763179830422,Y
0,19,4.638931845127226e-12,3463964.0380339036,271.2926871168052,-175.47734475884297,Y
0,20,6.343180906276072e-10,334.46895241803463,263.39794107707246,-194.93594706012456,Y
0,21,1.2205511978043303e-11,3463162.7020838875,273.3347139399076,-141.28882946025055,Y
0,22,1.053232831098933e-09,346.19336523358623,269.7471750674193,-156.87045236682397,Y
0,23,4.870159223147015e-12,2289546.337600783,282.84853181283177,-145.66297769455224,Y
0,24,9.926893823628379e-09,325.0940581383905,262.898928777528,-136.7149940770828,Y
0,25,9.072159134612433e-09,326.8839598250228,263.0212330212124,-138.6203457757441,Y
0,26,7.30388293977394e-09,319.0506487781022,279.9110448633492,-94.19347832954288,Y
0,27,5.130636262602283e-12,458939.7542748266,278.3655063238124,-122.5107598905044,Y
0,28,3.96577768619283e-05,331.5444482477253,278.84273157030935,-28.89179809093693,Y
0,29,5.122974517145332e-05,327.01782321587723,283.6108437297039,-20.650166025744426,Y
0,30,4.79028029349815e-05,318.53958802752925,287.3164066875006,-34.42098275578688,Y
0,31,1.0713462466228338e-06,165416.9536847928,276.11384142257896,-15.810195542009406,Y
0,32,1.4276380529636764e-06,305.5556585983485,290.3945922042487,-108.00043040912865,Y
0,33,1.3082009689155717e-14,305.15,289.15,-423.48426718000724,Y
0,34,8.263527278462965e-08,1154713.0813579597,285.4458531702322,-33.137952379185485,Y
0,35,4.5663790309518715e-06,315.44941565520116,286.8519575910064,-44.935703526874875,Y
0,36,0.00014423584246269863,307.53922800742146,284.7413155838477,-22.760796811150072,Y
0,37,2.1336581303391406e-05,308.4510661066334,280.10535682067984,-71.1840871663376,Y
0,38,9.13871022324639e-05,318.6371602882091,282.6934503367649,-15.986530885912217,Y
0,39,9.092025347366567e-05,318.3430135869557,281.9378459982967,-25.6728244687868,Y
0,40,4.515818096946786e-05,315.37554160400776,277.20824674004723,-36.213154210225056,Y
0,41,3.305145081849833e-05,310.8824217041601,278.949646619486,-31.830971346049452,Y
0,42,2.518458549759907e-05,308.92755955695884,277.51287561427296,-31.874830392691948,Y
0,43,1.5991248120966833e-05,372.64150119405383,274.02154032958134,-27.482728692145074,Y
0,44,2.194145005742437e-05,311.28061330503596,288.25166053071115,-46.41971522391138,Y
0,45,3.0431891620445953e-05,306.49496501295533,289.09336040494844,-42.01469878620392,Y
0,46,2.4278812098540345e-05,309.3350743158497,287.950432668393,-51.10008574996369,Y
0,47,2.6468687299843108e-05,306.3523027287937,288.5751938593151,-42.95440587818369,Y
0,48,1.9799234771769728e-05,313.42571250000293,288.0436495240081,-45.81158120225041,Y
0,49,2.696365526430765e-05,306.73577895446357,288.8698948210946,-36.74101085739462,Y
0,50,0.00017311412272396972,308.29192413713656,283.56565316299594,-36.92352393048192,Y
0,51,0.00024074672869625252,305.5661878826433,281.96999452866476,-9.764416639214446,Y
0,52,0.00022099885481766576,308.15337610529923,282.29266317071927,-7.171056731811426,Y
0,53,0.00021709522886050013,308.1783928323204,283.4120230943979,-8.61671711704486,Y
0,54,0.00022119144882754393,308.15937552865694,280.495807673342,-11.527554861129026,Y
0,55,0.00030675928552045465,308.38901497800066,283.36441326058207,-12.035970844450329,Y
0,56,0.00025412549042813236,308.6488392088237,282.0108083780926,-12.209880997845193,Y
0,57,0.00019790206895043511,308.207717011292,283.90559080364716,-8.896868256176838,Y
0,58,0.00018803528996614072,310.15200344958293,281.91639748548226,-2.7549752087622625,Y
