,GroupID,B0,E,Eh,Th,AIC,Converge
0,34,0.00395995021808821,5.747237331091552,5.043768308581166,287.2043342857922,-40.76686217723464,Y
0,35,NA,NA,NA,NA,NA,N
0,36,NA,NA,NA,NA,NA,N
0,37,0.05162228498812004,1.5965484224695041,2.9686819302305283,296.55419868482056,-71.23383935024572,Y
0,38,NA,NA,NA,NA,NA,N
0,39,0.5326039812189318,0.449637245470818,5.832764140339983,315.0640926570544,-42.71686398531267,Y
0,40,0.600320030286548,1.4435043336960118,1.490474938266868,287.1701516851215,-29.405996037790644,Y
0,41,NA,NA,NA,NA,NA,N
0,42,NA,NA,NA,NA,NA,N
0,43,NA,NA,NA,NA,NA,N
0,44,NA,NA,NA,NA,NA,N
0,45,NA,NA,NA,NA,NA,N
0,46,NA,NA,NA,NA,NA,N
0,47,NA,NA,NA,NA,NA,N
0,48,NA,NA,NA,NA,NA,N
0,49,NA,NA,NA,NA,NA,N
0,50,NA,NA,NA,NA,NA,N
0,51,NA,NA,NA,NA,NA,N
0,52,0.3967062237773088,0.973348191668334,10.069952735292881,304.4820061048137,0.8301607124810584,Y
0,53,0.8218006839455768,0.5958476736049098,7.001070846606144,304.80682831683123,1.486622929948263,Y
0,54,1.244343608627933,0.49458313025459466,8.476554590437965,304.89172343940885,2.0843060156525333,Y
0,55,0.5628581422874106,1.1973402199834589,3.4685876789651515,301.0452165816395,-3.6433657458332114,Y
0,56,0.4500515996853396,1.387473446021178,3.0119916900642703,299.4164700097356,-8.25941860241064,Y
0,57,NA,NA,NA,NA,NA,N
0,58,0.2605515025419001,1.5418672735746892,4.794039513357141,300.81295970052105,5.73618125906971,Y
0,59,0.714832470330879,1.29676986008626,3.5942042651861152,299.6616916627988,-1.9934830568168316,Y
0,60,0.5865416313769342,1.698505445743116,2.5574114101109733,294.8579264942682,-9.16151605503713,Y
0,61,0.8114580767534295,1.0531311885570345,4.39924077266049,301.50476138309574,-4.424395538134602,Y
0,62,1.1707861892796236,0.8672350183986903,4.308723657849774,299.9196906787927,-11.580872007440018,Y
0,63,0.6673172571720802,0.843443779032243,6.3106462623450446,303.71292974317504,2.2377860500686886,Y
0,64,0.6894360196819658,0.8786502514779617,5.4607016221679325,304.0600060838026,-0.9089693119629594,Y
0,65,0.8564408883295278,0.904258239450499,3.9698149870434416,302.3108749742192,-6.313106281098726,Y
0,66,0.634113461551124,1.2900767347985433,3.301446769819278,299.38776501977054,-1.0517473067612286,Y
0,67,0.1997617187412123,1.5015344189707511,4.711238884624722,302.1310980228261,2.7179941548468776,Y
0,68,NA,NA,NA,NA,NA,N
0,69,0.7157574046974328,1.392720091825506,4.916806253279828,298.237518777976,3.8891743412143374,Y
0,70,0.6548862901944633,0.735739961153136,7.338232235649881,305.4558962994444,-6.193397348167441,Y
0,71,0.32418587061076387,2.157055390885002,3.3316292957547056,294.66769514869804,-1.7655019857015528,Y
0,72,0.20082271362558393,2.363226790725828,4.160300513436143,296.2625988770502,8.256936038312185,Y
0,73,0.39139685747539715,1.0970521851836148,4.952064220036304,303.0736313126763,-3.850413854482836,Y
0,74,0.21270888421492942,1.604825351279453,4.707400159619601,301.28367848241817,5.443334938071143,Y
0,75,NA,NA,NA,NA,NA,N
0,76,0.821950631316307,0.7504768174448985,5.180267269475455,302.85145965661314,-8.078172559737446,Y
0,77,0.11551920880264226,2.475933055971292,4.168610279849005,296.93490335915186,9.80790761032785,Y
0,78,0.42918964280188326,0.9845075823189952,6.102011156056023,303.4557153478119,-5.10449139500953,Y
0,79,0.32497284783322705,1.078083062813005,6.594477638498612,304.14872527682974,-0.7288212570424264,Y
0,80,0.6107845442853326,0.8175794835598035,7.575699195143288,303.36649286638976,-19.983128975901376,Y
0,81,NA,NA,NA,NA,NA,N
0,82,0.7274308539375343,0.7383220938396635,7.22804888438965,305.0647171373878,-5.097560667459561,Y
0,83,0.523496859381752,0.9734306426825687,4.452533837979833,303.46914598929874,-6.396604898069192,Y
0,84,0.21479228715616555,1.403785978582521,4.826672373439421,301.7806904168432,-2.5268950191962,Y
0,85,0.13191069540169428,1.5934214734137107,4.434433163678278,301.27415160996014,-9.54871050930386,Y
0,86,0.7675336248532909,1.143124114880134,3.863534023804428,299.7389278367925,-10.793636694041489,Y
0,87,0.5625499644087013,1.0255680865325203,7.993196364953419,301.66416102763685,-6.6612129803991,Y
0,88,0.7332719938765662,1.2751374017260655,3.7118726077708364,298.0991360742551,-3.2830256763520715,Y
0,89,0.710013620044371,1.0542202761388662,5.012420237391615,300.54084990405914,-1.2226482064329502,Y
0,90,0.5574873724825168,1.213647041641737,4.12487598161869,299.2940581408103,-2.686322546854738,Y
0,91,1.0301977604338386,0.6784749411035434,5.430506361021248,302.073409793487,-23.18726572572397,Y
0,92,0.6054790520475142,1.289079805492009,3.710146910028376,298.62804398919985,-3.593303963990552,Y
0,93,1.3598105976667065,0.8331428195831541,5.7021410192131405,297.6829988695778,-14.560920555196294,Y
0,94,2.0511433314379928,0.27444809137992804,14.406053162154963,302.20323900100976,9.155342195932425,Y
0,95,1.4806308852484908,0.7029364562998136,6.585292691341398,298.8068342315485,-17.51187049540612,Y
0,96,NA,NA,NA,NA,NA,N
0,97,NA,NA,NA,NA,NA,N
0,98,1.5042505471886365,0.6934598718191249,6.537245598477225,298.1235755197544,-12.587637459873434,Y
0,99,1.311590890055314,0.9823078456603582,6.093347992491604,298.1348851701851,-17.66676915780029,Y
0,100,1.4346339039939968,0.6011248784149359,15.15466850111843,300.10587740374433,3.484006616021044,Y
0,101,1.3706725398294348,0.7474114922234033,5.945001160821225,298.1666454533152,-9.159032833331452,Y
0,102,1.0617245089181864,1.293004693745772,4.540665525732121,296.8376572001198,1.5550077912906488,Y
0,103,0.8545591888683698,0.7826332228796761,5.254143771434699,302.8066714549623,-4.361620380061936,Y
0,104,0.540462613524039,1.3228715326829923,3.2924190331371923,298.6510747587444,-5.236485454003883,Y
0,105,0.625651651940281,1.223817477319252,3.964782542045788,299.5259963547189,-3.43154778855901,Y
0,106,0.6403517962417138,1.170025969882707,2.9433752139702434,299.0558914425455,-9.631113067977406,Y
0,107,0.6783012704979874,1.3917773656218042,2.5768380398742776,296.3720718432747,-8.959061984061016,Y
0,108,0.6304846258711306,1.3648825483014524,2.5330729697141647,296.6773177968201,-8.297946340463962,Y
0,109,NA,NA,NA,NA,NA,N
