,GroupID,a,b,c,d,AIC,Converge
0,1,3472.662431197558,-35.54810912476642,0.1212446609744025,-0.00013778139577353318,-53.95926106699033,Y
0,2,25806.081374423087,-275.02703840724945,0.976048839114727,-0.0011533825339505208,-5.358815220423555,Y
0,3,-50.09872867439202,0.24733439215155456,4.0782608485642004e-05,-1.022118508400532e-06,-87.2223062296399,Y
0,4,-30.57428091143682,0.037693060260916775,0.0007897262297272997,-1.9125587943414148e-06,-80.01475561744198,Y
0,5,-731.2142414517518,7.153297987372527,-0.02329985180143113,2.5274243053886414e-05,-81.15370373178095,Y
0,6,2901.759150605842,-30.07690681687809,0.1038193105683176,-0.00011933354032001417,-60.92282876884657,Y
0,7,1598.7997996630615,-16.366838824696774,0.05579492588029391,-6.333576691560507e-05,-52.75521725992391,Y
0,8,201023.73122484284,-2056.327535875507,7.006781038789813,-0.007952585849869648,6.679939595949329,Y
0,9,20615.87550337533,-213.9986496901035,0.7394406255757364,-0.0008504091029027024,-18.130441723821125,Y
0,10,1.608349650836137,-0.016658868751142704,5.742354072889932e-05,-6.585644368034632e-08,-118.51309404244893,Y
0,11,4.883915830849161,-0.050084879146708214,0.00017108841883663214,-1.9466073947952354e-07,-123.78234004392573,Y
0,12,2.16857060765348,-0.022231173800450164,7.590647073545147e-05,-8.630762762052672e-08,-117.2833816518312,Y
0,13,-1.015066015372973,0.010404278709796051,-3.552498169599779e-05,4.0410956076929375e-08,-140.10427647429185,Y
0,14,0.7676794464706913,-0.007835959716343181,2.6638215341709655e-05,-3.015623585948944e-08,-152.9804293323967,Y
0,15,0.6346425114208996,-0.006651751831506969,2.320471438435321e-05,-2.694002255893832e-08,-129.34746251609542,Y
0,16,0.17052468244422503,-0.001808679062412387,6.384746710140577e-06,-7.499806559262422e-09,-173.14642660961732,Y
0,17,0.1377410070075811,-0.0014494310896764815,5.0739296306759805e-06,-5.906622137814276e-09,-167.52125504030244,Y
0,18,0.3564100221918726,-0.0037589999961789937,1.3192237413439423e-05,-1.5400821966318002e-08,-149.02763963420009,Y
0,19,-0.01712390415276609,0.00019238156101351775,-7.221864229690973e-07,9.063715587333524e-10,-215.26981606936042,Y
0,20,0.037165078708814546,-0.0003894421392005563,1.3559698716815935e-06,-1.5675995470837079e-09,-212.4755968525248,Y
0,21,-0.02686521687470774,0.00031388916297319015,-1.2241349670979206e-06,1.5934829063818238e-09,-165.28232843634837,Y
